[2026-08-05T10:09:47.613Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 84ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.625Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.637Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 6ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.641Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.650Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.662Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 2ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.676Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:09:47.681Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:09:53.962Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:09:53.990Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 4ms | Node: MediConsult-Institutional
[2026-08-05T10:14:42.587Z] GET /api/ai/medicine-suggestions?query=dolo | Status: 401 | IP: 127.0.0.1 | Time: 5ms | Node: MediConsult-Institutional
[2026-08-05T10:14:44.406Z] GET /api/ai/medicine-suggestions?query=dol | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:14:50.592Z] GET /api/appointments/patient-summary | Status: 401 | IP: 127.0.0.1 | Time: 2ms | Node: MediConsult-Institutional
[2026-08-05T10:14:50.595Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 2ms | Node: MediConsult-Institutional
[2026-08-05T10:14:50.599Z] GET /api/health/logs/PAT1001?range=week | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:14:50.604Z] GET /api/medicines/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
[2026-08-05T10:14:50.636Z] GET /api/reports/patient/PAT1001 | Status: 401 | IP: 127.0.0.1 | Time: 3ms | Node: MediConsult-Institutional
